Label	Category	ENG	PL
Ability_Quickdraw_DescriptionDetailed	Technique	Charge-time Technique ({0} sec). Release a wind slash that deals up to {1}[I]Injury ({2}%[I]) and {3}[S]Stagger ({4}%[S]) based on current weapon (only 25% effective without any charging).\n\nFirst hit from a melee weapon received while charging immediately ends the technique and instead of a releasing a wind slash, counter the attack and deal {5}[I]Injury ({6}%[I]) and {7}[S]Stagger ({8}%[S]) to that enemy.	
Ability_Quickdraw_MasteryA_Description	Technique	Finish this technique right before taking a melee weapon hit to perform both a counter and wind slash.	
Ability_Quickdraw_MasteryA_DescriptionDetailed	Technique	If the technique button is let go at most 0.2 sec before a melee weapon hit is received, both 'wind slash' and 'counter' versions of the technique are performed at the same time.	
Ability_Quickdraw_MasteryB_Description	Technique	Apply up to {0}[Prone]Prone to all enemies hit. Apply {1}[Prone]Prone instead if the enemy was countered using the technique.	
Ability_Quickdraw_MasteryB_DescriptionDetailed	Technique	Apply up to {0}[Prone]Prone to enemies hit, {1}[Prone]Prone if the enemy was countered. Only 25% effective without any charging. Effect is applied after [D]Damage is calculated.	
Ability_Quickdraw_Ultimate	Technique	Instant Draw	
Ability_Quickdraw_Ultimate_Description	Technique	Slow down time and charge a wind slash. Counter any attack received and heal based on how much [D]Damage it would have dealt.	
Ability_Quickdraw_Ultimate_DescriptionDetailed	Technique	Charge-time Technique ({0} sec). Slow down time to {1}% and prepare to release a wind slash that deals {0}[I]Injury ([1]%[I]) and {2}[S] ([3]%[S]) based on current weapon. First hit received while charging immediately finishes the technique, countering and restoring [H]Health and [SB]Stagger Bar based on enemy attack's base [I]Injury and [S]Stagger.	
Ability_Deconstruction	Technique	Deconstruction	
Ability_Deconstruction_FlavorText	Technique		
Ability_Deconstruction_Description	Technique	Gain 'Deconstruction' against target's current attack.\n\n[Riposting]Ripostes and [Counter]Counters against that attack have their [D]Damage multiplied and further increases the multiplier (up to {0} max).	
Ability_Deconstruction_DescriptionDetailed	Technique	On use, gain 2 'Deconstruction' stacks against target's current attack.\n\nDeconstruction causes your [Riposte]Ripostes and [Counter]Counters against targeted attack to have their [D]Damage multiplied by current amount of stacks.\n\n[Riposte]Riposting, [Counter]Countering or recasting this Technique against that specific attack (even from a different enemy) also gives 1 extra Deconstruction stack (up to {0} max).\n\nUsing Deconstruction on a different attack resets the stacks back to 2.	
Ability_Deconstruction_MasteryA_Description	Technique	For each unique attack Deconstructed, gain +{0}%[D]Damage until end of combat.\n\nIncrease Deconstruction max stacks to {1}.	
Ability_Deconstruction_MasteryB_Description	Technique	For each stack, gain extra {0}[A]Armor against Deconstructed attack.\n\nDeconstructing an [Unstoppable]Unstoppable attack gives max stacks just from the start.	
Ability_Deconstruction_Ultimate	Technique	Exploit Weakness	
Ability_Deconstruction_Ultimate_Description	Technique	Perform a strike that deals {0}[I] and {2}[S].\n\nIf hitting an enemy attack that has {4} Deconstruction stacks, permanently disable it from being used.	
Ability_Deconstruction_Ultimate_DescriptionDetailed	Technique	Perform a strike that deals {0}[I]({1}%[I] of current weapon) and {2}[S]({3}%[S] of current weapon).\n\nIf you currently have at least {4} stacks, then prevent enemy from using Deconstructed attack until end of combat.	
Ability_HeavySlash	Technique	Heavy Slash	Ciężkie Cięcie
Ability_HeavySlash_FlavorText	Technique	A simple motion that evokes a fan of spreading flames. Although unimpressive in terms of explosive power, it is one of main ways for Ignis knights to slowly and surely bring their opponents to heel.	Prosty ruch, który stwarza falę rozprzestrzeniających się płomieni. Choć technika ta nie powala pod względem destruktywnej mocy, jest ona jednym ze sposobów, w jaki rycerze Ignis powolnie lecz skutecznie podporządkowują sobie wrogów.
Ability_HeavySlash_Description	Technique	Slash in front, dealing {1}[HI] and {3}[HS]. If fully charged, release a wave of flames that inflicts {5}[MI] and {7}[Burn].	Tnij przed sobą, zadając {1}[HI] i {3}[HS]. W pełni naładowana technika tworzy wachlarz płomieni zadających {5}[MI] i {7}[Burn].
Ability_HeavySlash_DescriptionDetailed	Technique	Charge-time Technique ({0} sec). Slash in front, dealing {1}[HI]Injury ({2}%[HI]), {3}[HS]Stagger ({4}%[HS]) and causing enemies to flinch. If fully charged, release a wave of flames that inflicts {5}[MI]Injury ({6}%[MI]) and {7}[Burn]Burn ({8}%[MS]) to all enemies hit.	Ładowana Technika ({0} sek). Uderz przed siebie, zadając {1}[HI]Zranienia ({2}%[HI]), {3}[HS]Zachwiania ({4}%[HS]) i przerywając obecną akcję wrogów. W pełni naładowana technika dodatkowo tworzy wachlarz płomieni zadających {5}[MI]Zranienia ({6}%[MI]) i {7}[Burn]Podpalenia ({8}%[MS]) wszystkim wrogom.
Ability_HeavySlash_MasteryA_Description	Technique	Fully charged technique also [Stun]Stuns ({0} sec).	W pełni naładowana technika dodatkowo [Stun]Ogłusza ({0} sek).
Ability_HeavySlash_MasteryA_DescriptionDetailed	Technique	If fully charged, the attack also inflicts [Stun]Stun ({0} sec) to enemies hit by the weapon.	Jeśli jest w pełni naładowana, to technika dodatkowo nakłada [Stun]Ogłuszenie ({0} sek) na wrogów trafionych przez broń.
Ability_HeavySlash_MasteryB_Description	Technique	Charge faster and weapon inflicts extra {1}[Burn] when technique was fully charged.	Ładuj szybciej i broń nakłada dodatkowe {1}[Burn] gdy technika była w pełni naładowana.
Ability_HeavySlash_MasteryB_DescriptionDetailed	Technique	Increase charge speed to {0}%. When fully charged, weapon hit inflicts extra {1}[Burn]Burn ({2}%[HS]).	Zwiększ prędkość ładowania do {0}%. W pełni naładowana technika sprawia, że uderzenie bronią nakłada dodatkowe {1}[Burn]Podpalenia ({2}%[HS]).
Ability_HeavySlash_Ultimate	Technique	Infernal Blade	
Ability_HeavySlash_Ultimate_Description	Technique	Charge energy then slash, dealing at least {1}[HI], {3}[HS] and {5}[Burn], and triple amount when fully charged.	Ładuj energię i uderz, zadając co najmniej {1}[HI], {3}[HS] i {5}[Burn], i potrójną ilość przy pełnym naładowaniu.
Ability_HeavySlash_Ultimate_DescriptionDetailed	Technique	Charge-time Technique ({0} sec). Perform a slash with a blade of conjured flames, dealing at least {1}[HI]Injury ({2}%[HI]), {3}[HS]Stagger ({4}%[HS]) and {5}[Burn]Burn ({6}%[MS]). All [D]Damage and [Burn]Burn is increased based on charge time, up to 300% value.	Ładowana Technika ({0} sek). Wykonaj cięcie przy użyciu stworzonych płomieni, zadając co najmniej {1}[HI]Zranienia ({2}%[HI]), {3}[HS]Zachwiania ({4}%[HS]) i {5}[Burn]Podpalenia ({6}%[MS]). Całe [D]Obrażenia i [Burn]Podpalenie jest zwiększone w zależności od czasu ładowania, aż do max 300% wartości.
Ability_Fireball	Technique	Fireball	Kula Ognia
Ability_Fireball_FlavorText	Technique	The fireball technique is a signature of an Ignis Family member. One can figure out a lot about the user's personality based on the speed, ferocity or even color of the created flames.	Techniki ognistej kuli jest swojego rodzaju podpisem członka Rodziny Ignis. Wiele można wywnioskować o osobowości użytkownika patrząc na szybkość, dzikość czy nawet kolor stworzonego płomienia.
Ability_Fireball_Description	Technique	Throw a fireball in target direction, dealing {0}[MI] and {2}[Burn] to enemies hit.	Rzuć kulą ognia w danym kierunku, zadając {0}[MI] i {2}[Burn] trafionym wrogom.
Ability_Fireball_DescriptionDetailed	Technique	Throw a fireball in target direction, dealing {0}[MI]Injury ({1}%[MI]) and {2}[Burn]Burn ({3}%[MS]) to enemies hit.	Rzuć kulą ognia w danym kierunku, zadając {0}[MI]Zranienia ({1}%[MI]) i {2}[Burn]Podpalenia ({3}%[MS]) trafionym wrogom.
Ability_Fireball_MasteryA_Description	Technique	Increase explosion size and [Stun]Stun enemies hit for up to {1} seconds.	Zwiększ rozmiar eksplozji i [Stun]Ogłusz trafionych wrogów na maks {1} sekund.
Ability_Fireball_MasteryA_DescriptionDetailed	Technique	Increase explosion radius by 50%. Enemies hit are [Stun]Stunned for {0} - {1} seconds, depending on distance from explosion.	Zwiększ średnicę eksplozji o 50%. Trafieni wrogowie są [Stun]Ogłuszeni na {0} - {1} sekund, w zależności od odległości od eksplozji.
Ability_Fireball_MasteryB_Description	Technique	Fireball flies in a straight line and deals extra {0}[MI] and {2}[MS] to first enemy hit.	Kula ognia leci w linii prostej i zadaje dodatkowe {0}[MI] i {2}[MS] pierwszemu trafionemu wrogowi.
Ability_Fireball_Ultimate	Technique	Implosion	
Ability_Fireball_Ultimate_Description	Technique	Throw 5 fireballs in target direction, dealing {0}[MI] and {2}[Burn] to enemies hit.	Rzuć 5 kul ognia w danym kierunku, zadając {0}[MI] i {2}[Burn] trafionym wrogom.
Ability_Fireball_Ultimate_DescriptionDetailed	Technique	Throw 5 fireballs in target direction, dealing {0}[MI]Injury ({1}%[MI]) and {2}[Burn]Burn ({3}%[MS]) to enemies hit.	Rzuć 5 kul ognia w danym kierunku, zadając {0}[MI]Zranienia ({1}%[MI]) i {2}[Burn]Podpalenia ({3}%[MS]) trafionym wrogom.
Ability_Flamethrower	Technique	Flamethrower	Miotacz Ognia
Ability_Flamethrower_FlavorText	Technique	To conjure flames might seem simple, but low-level Ignis knights actually find it to be quite a challenging task, especially without the aid of specialized tools.	Tworzenie płomieni wydaje się prostym zadaniem, lecz niskopoziomowi paladyni Ignis uważają to za dosyć skomplikowany proces, zwłaszcza bez polegania na specjalnych narzędziach.
Ability_Flamethrower_Description	Technique	Shoot flames at enemies ahead, dealing {0}[MI] and {2}[Burn] / sec.	Strzel płomieniami przed siebie, zadając {0}[MI] i {2}[Burn] / sek. Trwa do maks 10 sekund w zależności od zebranych ładunków.
Ability_Flamethrower_DescriptionDetailed	Technique	Stacks-based Technique ({0} max). Stand in place and shoot flames ahead of you, consuming 10 stacks per second, dealing {0}[MI]Injury ({1}%[MI]) and applying {2}[Burn]Burn ({3}%[MS]). Generate 1 extra stack each time you apply [Burn]Burn to an enemy.	Stój w miejscu i miotaj płomieniami przed siebie, zadając {0}[MI]Zranienia ({1}%[MI]) i nakładając {2}[Burn]Podpalenia ({3}%[MS]) z każdą sekundą. Zużywa 10 ładunków na sekundę i pozwala zebrać w sumie max 100 ładunków. Generuj 1 dodatkowy ładunek za każdym razem, gdy nakładasz [Burn]Popalenie na wroga.
Ability_Flamethrower_MasteryA_Description	Technique	Flame size and technique speed increase by 20% with each second. Increase max stack amount to 150.	Rozmiar płomieni i prędkość techniki rośnie o 20% z każdą sekundą. Zwiększ maks ilość ładunków do 150.
Ability_Flamethrower_MasteryB_Description	Technique	You can move while channeling the technique. Apply extra {0}[Burn] when you hit an enemy for the first time.	Możesz się poruszać w wykonywania techniki. Nałóż dodatkowe {0}[Burn] gdy trafiasz przeciwnika pierwszy raz.
Ability_Flamethrower_MasteryB_DescriptionDetailed	Technique	You can move while channeling the technique. When an enemy takes [D]Damage from this technique for the first time, they take extra {0}[Burn]Burn ({1}%[MS]).	Możesz się poruszać w wykonywania techniki. Gdy wróg otrzymuje [D]Obrażenia od tej techniki po raz pierwszy, to nakładane jest na niego dodatkowe {0}[Burn]Podpalenia ({1}%[MS].
Ability_Flamethrower_Ultimate	Technique	Chain Reaction	Reakcja Łańcuchowa
Ability_Flamethrower_Ultimate_Description	Technique	Push closest enemy, multiplying their [Burn]Burn making them explode.\n\nSpreads to nearby [Burn]Burning enemies.	
Ability_Flamethrower_Ultimate_DescriptionDetailed	Technique	Punch closest enemy and push them back 3m. Multiply their current [Burn]Burn by 1% for each 1 stack and 1 [E]Energy spent (up to 200% total). Hit enemy then explodes, consuming all [Burn]Burn to deal {0}[I] to him for each 1[Burn]Burn removed and spreading the explosion to all [Burn]Burning enemies within 3m range.	
Ability_Eruption	Technique	Eruption	Erupcja
Ability_Eruption_FlavorText	Technique	This technique plunges a torrent of Ignis energy into the ground, causing it to explode right under all nearby enemies. Thankfully, the caster's energy cannot harm himself, otherwise he would be the first one to be harmed.	Ta technika wpycha strumień energii Ignis prosto w ziemię, wywołując wybuch pochłaniający pobliskich wrogów. Na szczęście energia użytkownika nie może zaszkodzić jemu samemu, w przeciwnym wypadku stałby się pierwszą ofiarą swego ataku.
Ability_Eruption_Description	Technique	Create 4 explosion circles each dealing {0}[I], {2}[HS] and {4}[Burn] to enemies hit.	Stwórz 4 kręgi eksplozji zadających {0}[I], {2}[HS] i {4}[Burn] trafionym wrogom.
Ability_Eruption_DescriptionDetailed	Technique	Plunge your weapon into the ground, creating 4 circles of explosions that deal {0}[I]Injury ({1}%[HI]+{2}%[MI]), {3}[HS]Stagger ({4}%[HS]) and {5}[Burn]Burn ({6}%[MS]). Enemies can be hurt by each circle separately.	Wetknij broń w ziemię, stwarzając krąg eksplozji zadających {0}[I]Zranienia ({1}%[HI]+{2}%[MI]), {3}[HS]Zachwiania ({4}%[HS]) i {5}[Burn]Podpalenia ({6}%[MS]).
Ability_Eruption_MasteryA_Description	Technique	Explosions are 50% faster and apply {0}%[Prone]Prone.	Eksplozje są 50% szybsze i nakładają {0}%[Prone]Prone.
Ability_Eruption_MasteryB_Description	Technique	Generate {0}[Barrier] for each enemy hit, tripled for bosses.	Generuj {0}[Barrier] za każdego trafionego wroga, potrójnie w przypadku bossów.
Ability_Eruption_MasteryB_DescriptionDetailed	Technique	Generate {0}[Barrier]Barrier ({1}%[HS]+{1}%[MS]) for each enemy hit, tripled for bosses.	Generuj {0}[Barrier]Bariery ({1}%[HS]+{1}%[MS]) za każdego trafionego wroga, potrójnie w przypadku bossów.
Ability_Eruption_Ultimate	Technique	Volcano	
Ability_Eruption_Ultimate_Description	Technique	Over 20 seconds create a total of 200 explosions centered around you, each dealing {0}[HI]/[MI] and {2}[Burn].	Przez 20 sekund stwórz wokół siebie w sumie 200 eksplozji, każde zadając {0}[HI]/[MI] i {2}[Burn].
Ability_Eruption_Ultimate_DescriptionDetailed	Technique	Instead of regular explosion circle, small explosions are created in 3m radius around you (until 100 explosions are created). Explosions deal {0}[HI]Injury ({1}%[HI]) and {2}[Burn]Burn ({3}%[MS]).	Zamiast normalnego okręgu eksplozji, tworzone są małe eksplozje w promieniu 3m wokół ciebie (aż stworzonych zostanie 100 eksplozji). Eksplozje zadają {0}[HI]Zranienia ({1}%[HI]) i {2}[Burn]Podpalenia ({3}%[MS]).
Ability_ChargedShot	Technique	Charged Shot	
Ability_ChargedShot_FlavorText	Technique		
Ability_ChargedShot_Description	Technique	Charge and release a shot that deals {0}[RI]Injury and {2}[Freeze]Freeze (up to +{4}% after charging for {5} sec).	
Ability_ChargedShot_DescriptionDetailed	Technique	Charge-time Technique ({0} sec). Release a projectile that deals {0}[RI]Injury ({1}%[RI]) and {2}[Freeze]Freeze ({3}%[MS]). After charging for {5} seconds, deals {6}[RI]Damage and {7}{Freeze]Freeze.	
Ability_ChargedShot_MasteryA_Description	Technique	Upon using the Technique, apply {0}[Slow]Slow to targeted enemy (if no target, closest enemy is affected).	
Ability_ChargedShot_MasteryB_Description	Technique	Projectile pierces through enemies and applies {0}[Prone]Prone.	
Ability_ChargedShot_Ultimate	Technique	Shattering Shot	
Ability_ChargedShot_Ultimate_Description	Technique	Can charge the shot for up to {4} seconds for +{5}%, and apply {8}[Freeze]/sec to target while charging.	
Ability_ChargedShot_Ultimate_DescriptionDetailed	Technique	Charge-time Technique ({0} sec). Release a projectile that deals {0}[RI] ({1}%[RI]) and {2}[Freeze] ({3}%[MS]). After charging for {4} seconds, deals {6}[RI]Damage and {7}{Freeze]. While charging the shot, targetted enemy receives {8}[Freeze]Freeze ({9}%[MS]) every second (if no target, closest enemy is affected).	
Ability_Permafrost	Technique	Permafrost	
Ability_Permafrost_FlavorText	Technique		
Ability_Permafrost_Description	Technique	Leave behind frost zone that applies {0}[Freeze]/sec and {1}[Slow]/sec.	
Ability_Permafrost_DescriptionDetailed	Technique	For next 15 seconds, leave behind a trail of frost wherever you go. The ice lasts 15 seconds and applies {0}[Freeze] ({1}%[MS]) and {1}[Slow] each second enemies stand on it.	
Ability_Permafrost_MasteryA_Description	Technique	Frost zone also applies -{0}%[T]Tenacity per second, lasting 15 seconds.	
Ability_Permafrost_MasteryB_Description	Technique	Restore [R]{0}%[/R] missing [H]Health/sec for the duration.	
Ability_Permafrost_Ultimate	Technique	Frost Domain	
Ability_Permafrost_Ultimate_Description	Technique	Push away all enemies and create a ring of frost around you. It applies {0}[Freeze]Freeze and {1}[Slow]Slow to enemies who enter it for the first time.	
Ability_SpearsOfIce	Technique	Spears of Ice	
Ability_SpearsOfIce_FlavorText	Technique	Ammo is a finite resource, but the energy of a Glacies Enforcer is not. This technique allows to unleash a torrent of ice shards in the direction of one's enemy without having to worry about anything.	
Ability_SpearsOfIce_Description	Technique	Shoot ice spears that deal {0}[MI] and {2}[Freeze].	
Ability_SpearsOfIce_DescriptionDetailed	Technique	Stacks-based Technique ({0} max). For each stack conumsed, shoot 1 ice projectile (3 per second) in targeted direction, dealing {0}[MI]({1}%[MI]), {2}[Freeze]({3}%[MS]) and {4}m knockback on hit.	
Ability_SpearsOfIce_MasteryA_Description	Technique	Increase knockback to {0}m and deal {1}% of enemy maximum [SB] on hit.	
Ability_SpearsOfIce_MasteryB_Description	Technique	Increase speed by {0}% and deal extra {1}[MI]({2}%[MI]) on hit.	
Ability_SpearsOfIce_Ultimate	Technique	Ice Onslaught	
Ability_SpearsOfIce_Ultimate_Description	Technique	Stacks-based Technique ({0} max). Shoot 15 projectiles per second instead of 3.	
Ability_TimeFreeze	Technique	Frozen Time	
Ability_TimeFreeze_FlavorText	Technique	Manipulating time itself is a higher art than what Glacies family is capable of. However, releasing sufficient ice energy into nearby area can accomplish a shockingly similar result.	
Ability_TimeFreeze_Description	Technique	Slow down time, gain {1}[Ammo] and spawn {2} marks on target. Hitting a mark deals extra {3}[RI] and {5}[Freeze]. Hitting all marks inflicts {7}[S]Stagger.	
Ability_TimeFreeze_DescriptionDetailed	Technique	Slow down time to {0}%, gain {1}[Ammo] and spawn {2} marks on current (or closest) target.\n\nPress [BasicAttackButtonPress] to shoot, dealing {3}[RI]({4}%[RI]) and {5}[Freeze]({6}%[RS]) on successful mark hit, destroying it.\n\nHitting all marks inflicts {7}[S]({8}%[RS]+{9}%[MS]) and ends the Technique.\n\nOnly marks can be hit for the duration, and [BlockButtonPress]Blocking or [DodgeButtonPress]Dodging ends the Technique.	
Ability_TimeFreeze_MasteryA_Description	Technique	Gain {0} [Ammo]Ammo on use. Technique ends after using {1}[Ammo]Ammo. Deal {3}[RI]/{5}[RS] on hit.	
Ability_TimeFreeze_MasteryA_DescriptionDetailed	Technique	Gain {0} [Ammo]Ammo on use (instead of usual {1}[Ammo]). Instead of creating marks, Technique ends after shooting {2}[Ammo] times. Projectiles inflict {3}[RI]({4}%[RI]) and {5}[RS]({6}%[RS]) on hit.	
Ability_TimeFreeze_MasteryB_Description	Technique	Hitting all marks restores {0}[E]Energy and reduces the Technique's remaining [CD]Cooldown by {1} seconds.	
Ability_TimeFreeze_Ultimate	Technique	Absolute Zero	
Ability_TimeFreeze_Ultimate_Description	Technique	For next 20 seconds (4 seconds real-time), shoot enemies without spending any [Ammo]Ammo.\n\nAll [I]Injury dealt is converted into [S]Stagger, but no [D]Damage is dealt to enemies who are already [Staggered]Staggered.	
Ability_Fortify	Technique	Fortify	
Ability_Fortify_FlavorText	Technique		
Ability_Fortify_Description	Technique	Stacks-based Technique ({0} max).\n\nBrace yourself, gaining {1}[A]({2}[A]+{3}% of your total [A]Armor) and becoming [Unstunnable]Unstunnable.\n\nLasts 1 sec for each 10 stacks consumed.	
Ability_Fortify_MasteryA_Description	Technique	While Technique is in effect and above 50%[H]Health, your [EG]Energy Gain is increased by {0}%.\n\nIf below 50%[H]Health, instead restore {1}% missing [H]Health per second.	
Ability_Fortify_MasteryB_Description	Technique	Each time you take [D]Damage, gain 1 stack.\n\nFor each stack available when Technique is used, gain {0}[Barrier]Barrier.	
Ability_Fortify_MasteryB_DescriptionDetailed	Technique	Each time you take [D]Damage, gain 1 stack.\n\nFor each stack available when Technique is used, gain {0}[Barrier]Barrier ({1}% MAX [H]Health + {2}% MAX [SB]Stagger Bar, {1}[Barrier] at {2} stacks).	
Ability_Fortify_Ultimate	Technique	Kinetic Reversal	
Ability_Fortify_Ultimate_Description	Technique	Stacks-based Technique ({0} max).\n\nBrace yourself, gaining {1}[A] ({2}[A]+{3}% of your current [A]Armor) and reflecting [G]{4}%[/G] pre-mitigation [D]Damage back at attackers.	
Ability_TectonicPull	Technique	Ground Slam	
Ability_TectonicPull_FlavorText	Technique		
Ability_TectonicPull_Description	Technique	Charge and slam the ground, dealing {1}/{2} and pulling affected enemies in front of you.	
Ability_TectonicPull_DescriptionDetailed	Technique	Charge-time Technique ({0} sec).\n\nSlam the ground, dealing {1}/{2}(higher total between {3}%[HI]+{4}%[HS] vs {5}%[MI]+{6}%[MS]) and applying knock-back to affected enemies that places them into a spot right in front of you.\n\nAffected area size depends on charge time.	
Ability_TectonicPull_MasteryA_Description	Technique	Removes Technique's charge time and applies {0}[Stun]Stun to enemies hit.	
Ability_TectonicPull_MasteryB_Description	Technique	Increases maximum charge time to {0} sec (max hit range still achieved at {1} sec charge).\n\nBased on charge time, multiply [D]Damage dealt by up to {0}.	
Ability_TectonicPull_Ultimate	Technique	Rock Cage	
Ability_TectonicPull_Ultimate_Description	Technique	Charge-time Technique ({0} sec). After using the Technique, also create a half-circular wall of stone around affected enemies that lasts {1} seconds.	
Ability_BlastDash	Technique	Blast Dash	
Ability_BlastDash_FlavorText	Technique		
Ability_BlastDash_Description	Technique	Dash in target direction, consuming {2}[H] and {4}[SB] and dealing as much to enemies hit.\n\nIf an enemy is pushed into an obstacle, apply [Stun]Stun ({6} sec).	
Ability_BlastDash_DescriptionDetailed	Technique	Charge-time Technique ({0} sec).\n\nDash up to {1}m in target direction based on charge time, costing you {2}[H]({3}%[H] MAX Health) and {4}[SB]({5}%[SB] MAX Stagger Bar), which cannot bring you below 1[H] or [Staggered]Stagger you.\n\nComing into contact with enemies inflicts consumed [H]Health as [I] and consumed [SB]Stagger Bar as [S]Stagger and pushes them together with you.\n\nIf collided with an obstacle, apply [Stun]Stun ({6} sec) to enemies hit, but if no enemies were hit, the stun is applied to you instead.	
Ability_BlastDash_MasteryA_Description	Technique	Increase dash range by {0}%.\n\nEnemies pushed into obstacles also receive {1}[Prone]Prone.	
Ability_BlastDash_MasteryB_Description	Technique	Increase Area of Effect by {0}%.\n\nFor each enemy hit, refund all [H]Health and [SB]Stagger Bar consumed by the Technique.	
Ability_BlastDash_Ultimate	Technique	Blast Flight	
Ability_BlastDash_Ultimate_Description	Technique	Remove charge time and increase dash range to {0}m.\n\nFor each enemy hit, MULTIPLY all [D]Damage and [Stun]Stun applied (x2 for 2 enemies, x3 for 3 enemies...).	
Ability_Helmsplitter	Technique	Earth Splitter	
Ability_Helmsplitter_FlavorText	Technique		
